epoch,lr,step,train_acc,train_loss,val_acc,val_auc,val_f1,val_loss
52,,648825,,,0.6137786507606506,0.6693048477172852,0.6262823939323425,0.6368045806884766
52,0.004999999888241291,648825,0.6139051914215088,0.6383652687072754,,,,
53,,661067,,,0.6137071847915649,0.6691813468933105,0.608504593372345,0.6363903284072876
53,0.004999999888241291,661067,0.6137019395828247,0.638231635093689,,,,
54,,673309,,,0.6137905716896057,0.6692318320274353,0.615847647190094,0.6368376016616821
54,0.004999999888241291,673309,0.6128915548324585,0.6380840539932251,,,,
55,,685551,,,0.6142908930778503,0.6693187952041626,0.6060904860496521,0.6368258595466614
55,0.004999999888241291,685551,0.6129805445671082,0.6380618810653687,,,,
56,,697793,,,0.6126171350479126,0.6692410707473755,0.633500337600708,0.6369349956512451
56,0.004999999888241291,697793,0.6132861971855164,0.6382951736450195,,,,
57,,710035,,,0.6139513850212097,0.6691986322402954,0.6330795288085938,0.6365917325019836
57,0.004999999888241291,710035,0.6137279868125916,0.6379802227020264,,,,
58,,722277,,,0.6135761141777039,0.6693208813667297,0.6269250512123108,0.6367890238761902
58,0.0024999999441206455,722277,0.6131840348243713,0.6375270485877991,,,,
59,,734519,,,0.613921582698822,0.669369101524353,0.6160962581634521,0.6363570094108582
59,0.0024999999441206455,734519,0.6124905347824097,0.637650191783905,,,,
60,,746761,,,0.6126528382301331,0.6692955493927002,0.582164466381073,0.6373571753501892
60,0.0024999999441206455,746761,0.6130208373069763,0.6375935077667236,,,,
61,,759003,,,0.613760769367218,0.6692934036254883,0.611087441444397,0.6362730860710144
61,0.0024999999441206455,759003,0.613817572593689,0.6373023986816406,,,,
62,,771245,,,0.6128970980644226,0.6692312955856323,0.6344429850578308,0.6365784406661987
62,0.0024999999441206455,771245,0.6134747266769409,0.6372984051704407,,,,
63,,783487,,,0.6137667298316956,0.6692621111869812,0.6186527609825134,0.6367974281311035
63,0.0024999999441206455,783487,0.613400399684906,0.6374130249023438,,,,
64,,795729,,,0.6136297583580017,0.6692125797271729,0.6305398941040039,0.6366835236549377
64,0.0024999999441206455,795729,0.6134084463119507,0.6372424364089966,,,,
65,,807971,,,0.6139156222343445,0.6691904067993164,0.6184744238853455,0.6361573338508606
65,0.0024999999441206455,807971,0.6135767102241516,0.6373552680015564,,,,
66,,820213,,,0.6133438348770142,0.6692498922348022,0.6330546736717224,0.6364553570747375
66,0.0024999999441206455,820213,0.6126325726509094,0.6373552680015564,,,,
67,,832455,,,0.6137548089027405,0.6692832708358765,0.6171278357505798,0.6370078921318054
67,0.0024999999441206455,832455,0.6143357157707214,0.637430727481842,,,,
68,,844697,,,0.6137012243270874,0.6692485809326172,0.6186396479606628,0.6371094584465027
68,0.0024999999441206455,844697,0.6144393682479858,0.6374548673629761,,,,
69,,856939,,,0.6127481460571289,0.6691635251045227,0.5890792608261108,0.6367101669311523
69,0.0024999999441206455,856939,0.6136428713798523,0.637356698513031,,,,
70,,869181,,,0.6136118769645691,0.6692001819610596,0.6132363677024841,0.6364852786064148
70,0.0024999999441206455,869181,0.6150962710380554,0.6373434662818909,,,,
71,,881423,,,0.6140883564949036,0.6691846251487732,0.6223551034927368,0.6362378597259521
71,0.0024999999441206455,881423,0.613900899887085,0.6373783946037292,,,,
72,,893665,,,0.6135761141777039,0.6692235469818115,0.5940249562263489,0.6366648077964783
72,0.0024999999441206455,893665,0.6152921319007874,0.6373316049575806,,,,
73,,905907,,,0.6138143539428711,0.6692514419555664,0.6278228759765625,0.6372247934341431
73,0.0024999999441206455,905907,0.6141993403434753,0.6372373700141907,,,,
74,,918149,,,0.6138620376586914,0.6692216396331787,0.6263630986213684,0.637019693851471
74,0.0024999999441206455,918149,0.6134969592094421,0.6373002529144287,,,,
75,,930391,,,0.6137369275093079,0.6691997051239014,0.617279589176178,0.6363551616668701
75,0.0024999999441206455,930391,0.613591194152832,0.6372763514518738,,,,
76,,942633,,,0.6139692664146423,0.6692285537719727,0.6167339086532593,0.6362979412078857
76,0.0024999999441206455,942633,0.614156186580658,0.6371898651123047,,,,
77,,954875,,,0.6126528382301331,0.6692231893539429,0.578885018825531,0.6371961236000061
77,0.0012499999720603228,954875,0.614170491695404,0.6368821859359741,,,,
78,,967117,,,0.6134093403816223,0.6692545413970947,0.6055788397789001,0.6375063061714172
78,0.0012499999720603228,967117,0.6138830780982971,0.6368887424468994,,,,
79,,979359,,,0.6133854985237122,0.6691727638244629,0.6076859831809998,0.6365367770195007
79,0.0012499999720603228,979359,0.6139333248138428,0.636891782283783,,,,
80,,991601,,,0.6137965321540833,0.6691732406616211,0.6048524379730225,0.6363880634307861
80,0.0012499999720603228,991601,0.6139140725135803,0.6368795037269592,,,,
81,,1003843,,,0.6135046482086182,0.6690885424613953,0.6004015207290649,0.6367109417915344
81,0.0012499999720603228,1003843,0.6143559813499451,0.6368225812911987,,,,
82,,1016085,,,0.6133974194526672,0.6691796779632568,0.6004825830459595,0.6364362239837646
82,0.0012499999720603228,1016085,0.6136249303817749,0.6368039846420288,,,,
83,,1028327,,,0.6136356592178345,0.6692588329315186,0.6143454909324646,0.6364920735359192
83,0.0012499999720603228,1028327,0.614319384098053,0.6367623805999756,,,,
84,,1040569,,,0.6135582327842712,0.669281005859375,0.6167179942131042,0.6364167928695679
84,0.0012499999720603228,1040569,0.6135771870613098,0.6368483901023865,,,,
